dataset,depth,split,method,tau_0,key_beta_p,beta_p,objective_value,optimality_gap (Full MIP),time,actual_time (Full MIP),gamma,train_acc,test_acc,train_prec,test_prec
blsc,4,3,Full MIP,,1,0.87,0.805558125,0.24137535,2.296316862,3610.785428,-2.57E-10,0.806,0.745,0.871,0.86
blsc,4,3,IDSA-PIP,,1,0.87,0.901709402,,1089.574424,,0,0.902,0.86,0.94,0.901
blsc,4,4,Full MIP,,1,0.87,0.833333333,0.2,1.593706131,3613.661974,0,0.833,0.796,0.878,0.853
blsc,4,4,IDSA-PIP,,1,0.87,0.938034188,,1389.424923,,0,0.938,0.866,0.959,0.94
ctmc,4,1,Full MIP,5,1,0.69,0.561594203,0.780645161,7.521121979,3603.141465,0,0.562,0.523,0.814,0.759
ctmc,4,1,IDSA-PIP,5,1,0.69,0.605072464,,1473.857023,,0,0.605,0.577,0.697,0.656
ctmc,4,2,Full MIP,7,1,0.69,0.559782609,0.786407767,8.663829803,3600.373081,0,0.56,0.493,0.789,0.769
ctmc,4,2,IDSA-PIP,7,1,0.69,0.589673913,,1259.672993,,0,0.59,0.501,0.801,0.736
ctmc,4,3,Full MIP,4,1,0.69,0.549818841,0.81878089,7.743596077,3607.285427,0,0.55,0.556,0.771,0.704
ctmc,4,3,IDSA-PIP,4,1,0.69,0.574275362,,1234.858037,,0,0.574,0.564,0.815,0.716
ctmc,4,4,Full MIP,9,1,0.69,0.548913043,0.821782178,3600.198573,3600.503845,0,0.558,0.52,0.783,0.764
ctmc,4,4,IDSA-PIP,9,1,0.69,0.632246377,,1880.339778,,0,0.632,0.542,0.73,0.643
ceva,4,1,Full MIP,9,1,0.96,0.799382716,0.250965251,8.839859009,3601.136116,0,0.799,0.792,0.982,0.996
ceva,4,1,IDSA-PIP,9,1,0.96,0.889660494,,1596.636297,,0,0.89,0.882,1,1
ceva,4,2,Full MIP,11,1,0.96,0.797839506,0.253384913,10.171278,3600.891253,0,0.798,0.801,0.982,0.984
ceva,4,2,IDSA-PIP,11,1,0.96,0.896604938,,2684.335275,,0,0.897,0.868,0.994,0.973
ceva,4,3,Full MIP,10,1,0.96,0.791666667,0.263157895,9.774960995,3600.256931,0,0.792,0.819,0.987,0.971
ceva,4,3,IDSA-PIP,10,1,0.96,0.792438272,,872.4311872,,0,0.792,0.822,0.987,0.971
ceva,4,4,Full MIP,8,1,0.96,0.805555556,0.24137931,9.123976946,3600.698571,0,0.806,0.806,0.967,0.967
ceva,4,4,IDSA-PIP,8,1,0.96,0.821759259,,1496.166556,,0,0.822,0.819,0.977,0.978
fish,4,1,Full MIP,,8,0.36,-57599.21503,1.000017361,3601.640683,3601.640683,5.76,0.785,0.786,0.354,0.355
fish,4,1,IDSA-PIP,,8,0.36,0.884640523,,1033.836994,,0,0.885,0.882,0.508,0.502
fish,4,2,Full MIP,,8,0.36,-50399.21438,1.000019842,3602.959294,3602.959294,5.04,0.786,0.785,0.355,0.354
fish,4,2,IDSA-PIP,,8,0.36,0.884640523,,2402.171046,,0,0.885,0.885,0.53,0.526
fish,4,3,Full MIP,,8,0.36,-50399.21437,1.000019842,3761.553988,3761.553988,5.039999999,0.786,0.785,0.355,0.354
fish,4,3,IDSA-PIP,,8,0.36,0.84248366,,1310.82907,,0,0.842,0.841,0.446,0.443
fish,4,4,Full MIP,,8,0.36,-82799.2183,1.000012077,3615.173249,3615.173249,8.28,0.783,0.783,0.352,0.352
fish,4,4,IDSA-PIP,,8,0.36,0.874509804,,2991.612689,,0,0.885,0.886,0.634,0.645
