Precision_threshold,Fold,method,obj,time,train_accuracy,test_accuracy,train_precision,test_precision,train_recall,test_recall
"{0: 0.67, 3: 0.8}",4,ISA-PIP,0.638,2880,0.803,0.81,"{0: 0.67, 1: 0.743, 2: 0.874, 3: 0.918}","{0: 0.644, 1: 0.795, 2: 0.897, 3: 0.909}","{0: 0.78, 1: 0.497, 2: 0.97, 3: 0.98}","{0: 0.717, 1: 0.574, 2: 0.963, 3: 1.0}"
"{0: 0.67, 3: 0.8}",4,IDSA-PIP,0.674,1328,0.795,0.773,"{0: 0.67, 1: 0.807, 2: 0.864, 3: 0.855}","{0: 0.672, 1: 0.8, 2: 0.812, 3: 0.814}","{0: 0.805, 1: 0.436, 2: 0.97, 3: 0.987}","{0: 0.736, 1: 0.444, 2: 0.963, 3: 0.96}"
"{0: 0.67, 1: 0.8, 3: 0.8}",1,Full MIP,-94199.32,3415,0.779,0.726,"{0: 0.628, 1: 0.833, 2: 0.896, 3: 0.84}","{0: 0.553, 1: 0.706, 2: 0.833, 3: 0.847}","{0: 0.893, 1: 0.309, 2: 0.945, 3: 0.987}","{0: 0.792, 1: 0.218, 2: 0.926, 3: 1.0}"
"{0: 0.67, 1: 0.8, 3: 0.8}",1,PIP,-181099.276,266,0.77,0.741,"{0: 0.592, 1: 0.936, 2: 0.919, 3: 0.813}","{0: 0.539, 1: 0.857, 2: 0.871, 3: 0.833}","{0: 0.868, 1: 0.272, 2: 0.963, 3: 0.993}","{0: 0.774, 1: 0.218, 2: 1.0, 3: 1.0}"
"{0: 0.67, 1: 0.8, 3: 0.8}",1,ISA-PIP,0.677,3234,0.817,0.75,"{0: 0.674, 1: 0.812, 2: 0.913, 3: 0.886}","{0: 0.561, 1: 0.7, 2: 0.85, 3: 0.893}","{0: 0.818, 1: 0.506, 2: 0.963, 3: 0.993}","{0: 0.698, 1: 0.382, 2: 0.944, 3: 1.0}"
"{0: 0.67, 1: 0.8, 3: 0.8}",1,IDSA-PIP,0.696,1609,0.819,0.764,"{0: 0.671, 1: 0.914, 2: 0.905, 3: 0.876}","{0: 0.579, 1: 0.941, 2: 0.844, 3: 0.873}","{0: 0.912, 1: 0.395, 2: 0.988, 3: 0.993}","{0: 0.83, 1: 0.291, 2: 1.0, 3: 0.96}"
"{0: 0.67, 1: 0.8, 3: 0.8}",2,Full MIP,0.719,899,0.741,0.75,"{0: 0.81, 1: 0.56, 2: 0.87, 3: 0.83}","{0: 0.923, 1: 0.561, 2: 0.897, 3: 0.831}","{0: 0.214, 1: 0.798, 2: 0.982, 3: 0.98}","{0: 0.226, 1: 0.852, 2: 0.945, 3: 0.98}"
"{0: 0.67, 1: 0.8, 3: 0.8}",2,PIP,0.718,263,0.74,0.736,"{0: 0.791, 1: 0.558, 2: 0.874, 3: 0.829}","{0: 0.8, 1: 0.544, 2: 0.897, 3: 0.817}","{0: 0.214, 1: 0.798, 2: 0.982, 3: 0.973}","{0: 0.226, 1: 0.796, 2: 0.945, 3: 0.98}"
"{0: 0.67, 1: 0.8, 3: 0.8}",2,ISA-PIP,0.718,1058,0.74,0.736,"{0: 0.791, 1: 0.558, 2: 0.874, 3: 0.829}","{0: 0.8, 1: 0.544, 2: 0.897, 3: 0.817}","{0: 0.214, 1: 0.798, 2: 0.982, 3: 0.973}","{0: 0.226, 1: 0.796, 2: 0.945, 3: 0.98}"
"{0: 0.67, 1: 0.8, 3: 0.8}",2,IDSA-PIP,0.722,1326,0.744,0.75,"{0: 0.805, 1: 0.543, 2: 0.894, 3: 0.86}","{0: 0.812, 1: 0.557, 2: 0.912, 3: 0.833}","{0: 0.208, 1: 0.81, 2: 0.982, 3: 0.987}","{0: 0.245, 1: 0.815, 2: 0.945, 3: 1.0}"
"{0: 0.67, 1: 0.8, 3: 0.8}",3,Full MIP,0.657,2891,0.764,0.692,"{0: 0.685, 1: 0.696, 2: 0.818, 3: 0.817}","{0: 0.5, 1: 0.561, 2: 0.79, 3: 0.828}","{0: 0.56, 1: 0.589, 2: 0.939, 3: 0.98}","{0: 0.321, 1: 0.593, 2: 0.891, 3: 0.98}"
"{0: 0.67, 1: 0.8, 3: 0.8}",3,PIP,0.701,843,0.808,0.716,"{0: 0.683, 1: 0.682, 2: 0.914, 3: 0.925}","{0: 0.551, 1: 0.519, 2: 0.926, 3: 0.839}","{0: 0.61, 1: 0.656, 2: 0.982, 3: 0.993}","{0: 0.509, 1: 0.5, 2: 0.909, 3: 0.959}"
"{0: 0.67, 1: 0.8, 3: 0.8}",3,ISA-PIP,0.71,2339,0.805,0.725,"{0: 0.678, 1: 0.714, 2: 0.894, 3: 0.898}","{0: 0.574, 1: 0.542, 2: 0.895, 3: 0.831}","{0: 0.635, 1: 0.613, 2: 0.982, 3: 1.0}","{0: 0.509, 1: 0.481, 2: 0.927, 3: 1.0}"
"{0: 0.67, 1: 0.8, 3: 0.8}",3,IDSA-PIP,0.718,1661,0.787,0.711,"{0: 0.671, 1: 0.683, 2: 0.888, 3: 0.866}","{0: 0.556, 1: 0.531, 2: 0.877, 3: 0.817}","{0: 0.604, 1: 0.595, 2: 0.969, 3: 0.993}","{0: 0.472, 1: 0.481, 2: 0.909, 3: 1.0}"
"{0: 0.67, 1: 0.8, 3: 0.8}",4,Full MIP,0.617,3290,0.789,0.754,"{0: 0.727, 1: 0.658, 2: 0.893, 3: 0.848}","{0: 0.644, 1: 0.62, 2: 0.879, 3: 0.828}","{0: 0.585, 1: 0.638, 2: 0.97, 3: 0.973}","{0: 0.547, 1: 0.574, 2: 0.944, 3: 0.96}"
"{0: 0.67, 1: 0.8, 3: 0.8}",4,PIP,-82999.353,461,0.781,0.815,"{0: 0.626, 1: 0.761, 2: 0.903, 3: 0.836}","{0: 0.683, 1: 0.829, 2: 0.914, 3: 0.845}","{0: 0.748, 1: 0.429, 2: 0.97, 3: 0.993}","{0: 0.774, 1: 0.537, 2: 0.981, 3: 0.98}"
"{0: 0.67, 1: 0.8, 3: 0.8}",4,ISA-PIP,-53299.337,3104,0.798,0.81,"{0: 0.643, 1: 0.789, 2: 0.919, 3: 0.861}","{0: 0.672, 1: 0.833, 2: 0.929, 3: 0.828}","{0: 0.805, 1: 0.436, 2: 0.97, 3: 1.0}","{0: 0.774, 1: 0.556, 2: 0.963, 3: 0.96}"
"{0: 0.67, 1: 0.8, 3: 0.8}",4,IDSA-PIP,0.668,1513,0.791,0.787,"{0: 0.67, 1: 0.758, 2: 0.883, 3: 0.837}","{0: 0.65, 1: 0.788, 2: 0.867, 3: 0.845}","{0: 0.767, 1: 0.442, 2: 0.97, 3: 1.0}","{0: 0.736, 1: 0.481, 2: 0.963, 3: 0.98}"
