dataset,depth,split,method,restricted_class,beta_p,gap,time,gamma,train_acc,test_acc,train_prec,test_prec
blsc,2,3,FlowOCT,0,0.91,0,213.542721,0,0.598,0.567,0.918,0.778
blsc,2,3,FlowOCT,0,0.92,0,353.2257221,0,0.502,0.490,0.952,1.000
blsc,2,3,FlowOCT,0,0.93,0,294.913342,0,0.502,0.490,0.952,1.000
blsc,2,3,FlowOCT,0,0.94,0,357.876251,0,0.502,0.490,0.952,1.000
blsc,2,3,FlowOCT,0,0.95,0,224.0688431,0,0.502,0.490,0.952,1.000
blsc,2,3,FlowOCT,0,0.96,0,181.7978179,0,0.500,0.497,1.000,0.833
blsc,2,3,FlowOCT,0,0.97,0,598.9126599,0,0.500,0.497,1.000,0.833
blsc,2,4,FlowOCT,0,0.88,0,200.5836902,0,0.596,0.573,0.919,0.769
blsc,2,4,FlowOCT,0,0.89,0,233.1825809,0,0.596,0.573,0.919,0.769
blsc,2,4,FlowOCT,0,0.9,0,379.1357322,0,0.596,0.573,0.919,0.769
blsc,2,4,FlowOCT,0,0.91,0,460.4856369,0,0.596,0.573,0.919,0.769
blsc,2,4,FlowOCT,0,0.92,0,1263.809342,0,0.506,0.478,1.000,0.667
blsc,2,4,FlowOCT,0,0.93,0,344.473758,0,0.506,0.478,1.000,0.667
blsc,2,4,FlowOCT,0,0.94,0,134.70439,0,0.506,0.478,1.000,0.667
blsc,2,4,FlowOCT,0,0.95,0,340.6077309,0,0.506,0.478,1.000,0.667
blsc,2,4,FlowOCT,0,0.96,0,264.1260359,0,0.506,0.478,1.000,0.667
blsc,2,4,FlowOCT,0,0.97,0,288.017942,0,0.506,0.478,1.000,0.667
blsc,3,1,FlowOCT,0,0.88,0.812834225,3600.140553,0,0.677,0.694,0.893,0.974
blsc,3,1,FlowOCT,0,0.89,0.809964784,3600.316597,0,0.677,0.694,0.915,0.907
blsc,3,1,FlowOCT,0,0.9,0,2469.202214,0,0.677,0.694,0.922,0.889
