dataset,depth,split,method,restricted_class,beta_p,gap,time,gamma,train_acc,test_acc,train_prec,test_prec
ctmc,2,3,FlowOCT,0,0.56,0,525.1002769,0,0.504,0.515,0.614,0.606
ctmc,2,3,FlowOCT,0,0.58,0,548.144726,0,0.504,0.515,0.614,0.606
ctmc,2,3,FlowOCT,0,0.6,0,616.6174099,0,0.504,0.515,0.614,0.606
ctmc,2,3,FlowOCT,0,0.62,0,585.257333,0,0.505,0.534,0.690,0.664
ctmc,2,3,FlowOCT,0,0.64,0,529.6965051,0,0.505,0.534,0.690,0.664
ctmc,2,3,FlowOCT,0,0.66,0,682.647409,0,0.505,0.534,0.690,0.664
ctmc,2,3,FlowOCT,0,0.68,0,496.054563,0,0.505,0.534,0.690,0.664
ctmc,2,3,FlowOCT,0,0.7,0,646.2554619,0,0.464,0.453,0.706,0.663
ctmc,2,3,FlowOCT,0,0.72,0,490.9505961,0,0.452,0.431,0.725,0.702
ctmc,2,4,FlowOCT,0,0.54,0,578.854964,0,0.512,0.515,0.686,0.675
ctmc,2,4,FlowOCT,0,0.56,0,583.6626189,0,0.512,0.515,0.686,0.675
ctmc,2,4,FlowOCT,0,0.58,0,544.2857649,0,0.512,0.515,0.686,0.675
ctmc,2,4,FlowOCT,0,0.6,0,630.7868578,0,0.512,0.515,0.686,0.675
ctmc,2,4,FlowOCT,0,0.62,0,514.1903479,0,0.512,0.515,0.686,0.675
ctmc,2,4,FlowOCT,0,0.64,0,774.2664869,0,0.512,0.515,0.686,0.675
ctmc,2,4,FlowOCT,0,0.66,0,622.2850399,0,0.512,0.515,0.686,0.675
ctmc,2,4,FlowOCT,0,0.68,0,636.0498309,0,0.512,0.515,0.686,0.675
ctmc,2,4,FlowOCT,0,0.7,0,502.4279649,0,0.465,0.450,0.709,0.654
ctmc,2,4,FlowOCT,0,0.72,0,655.279119,0,0.448,0.415,0.737,0.714
ctmc,3,1,FlowOCT,0,0.64,0.977229602,3600.527574,0,0.541,0.491,0.691,0.612
ctmc,3,1,FlowOCT,0,0.66,0.977736549,3600.231174,0,0.530,0.488,0.704,0.655
ctmc,3,1,FlowOCT,0,0.68,0.977055449,3600.320204,0,0.541,0.491,0.691,0.612
ctmc,3,1,FlowOCT,0,0.7,0.977272727,3600.400278,0,0.536,0.491,0.702,0.650
ctmc,3,1,FlowOCT,0,0.72,0.97979798,3600.979616,0,0.476,0.428,0.728,0.628
ctmc,3,1,FlowOCT,0,0.74,0.97810219,3600.221832,0,0.525,0.480,0.740,0.696
ctmc,3,1,FlowOCT,0,0.76,0.980613893,3600.226857,0,0.461,0.423,0.760,0.677
ctmc,3,1,FlowOCT,0,0.78,0.980769231,3600.667136,0,0.460,0.401,0.792,0.683
ctmc,3,1,FlowOCT,0,0.8,0.980952381,3600.856523,0,0.455,0.407,0.803,0.730
ctmc,3,1,FlowOCT,0,0.82,0.980613893,3600.185931,0,0.461,0.417,0.821,0.771
ctmc,3,2,FlowOCT,0,0.64,0.99852452,3600.353555,0,0.549,0.512,0.659,0.640
ctmc,3,2,FlowOCT,0,0.66,0.998536538,3600.266217,0,0.546,0.472,0.696,0.663
ctmc,3,2,FlowOCT,0,0.68,0.998541007,3600.870057,0,0.536,0.463,0.696,0.663
ctmc,3,2,FlowOCT,0,0.7,0.99850929,3600.269472,0,0.529,0.477,0.702,0.657
ctmc,3,2,FlowOCT,0,0.72,0.998610486,3600.576771,0,0.515,0.453,0.720,0.636
ctmc,3,2,FlowOCT,0,0.74,0.998595245,3600.805879,0,0.527,0.444,0.748,0.675
ctmc,3,2,FlowOCT,0,0.76,0.998680956,3600.214436,0,0.489,0.428,0.764,0.661
ctmc,3,2,FlowOCT,0,0.78,0.998678593,3600.61911,0,0.486,0.423,0.792,0.667
ctmc,3,2,FlowOCT,0,0.8,0.998685958,3600.687897,0,0.457,0.415,0.801,0.717
ctmc,3,2,FlowOCT,0,0.82,0.998742643,3600.332027,0,0.469,0.409,0.833,0.818
ctmc,3,3,FlowOCT,0,0.64,0.99408284,3600.317504,0,0.546,0.523,0.655,0.575
ctmc,3,3,FlowOCT,0,0.66,0.994360902,3600.194316,0,0.524,0.537,0.688,0.656
ctmc,3,3,FlowOCT,0,0.68,0.994339623,3600.937508,0,0.525,0.509,0.699,0.667
ctmc,3,3,FlowOCT,0,0.7,0.994318182,3600.186654,0,0.527,0.526,0.700,0.672
