approach,dataset,sample,nrow,depth,restricted_class,beta_p,lambda,time_limit,status,obj_value,gamma_value,solving_time,gap,train_acc,eval_acc,test_acc,train_prec,eval_prec,test_prec,node_count,cb_time_int,cb_time_int_suc,cb_counter_int,cb_counter_int_suc
FlowOCT,ctmc_5buckets,4,1104,3,0,0.82,0.5,3600,9,-317.5,0,3601.74658,99.52755906,0.43115942,0.461956522,0.398373984,0.845070423,0.958333333,0.791666667,191,0,0,0,0
FlowOCT,ctmc_5buckets,1,1104,4,0,0.64,0.8,3600,9,-126.4,0,3603.78378,98.28939637,0.449275362,0.451086957,0.433604336,0.676724138,0.64,0.738461538,127,0,0,0,0
FlowOCT,ctmc_5buckets,1,1104,4,0,0.66,0.8,3600,9,-125.4,0,3601.632151,98.28378022,0.461050725,0.456521739,0.433604336,0.6875,0.597222222,0.68115942,127,0,0,0,0
FlowOCT,ctmc_5buckets,1,1104,4,0,0.68,0.8,3600,9,-110.2,0,3601.1648,98.04193246,0.537137681,0.513586957,0.498644986,0.702380952,0.657407407,0.64957265,127,0,0,0,0
FlowOCT,ctmc_5buckets,1,1104,4,0,0.7,0.8,3600,9,-122.6,0,3602.347226,98.20484257,0.480978261,0.467391304,0.449864499,0.722488038,0.666666667,0.625,127,0,0,0,0
FlowOCT,ctmc_5buckets,1,1104,4,0,0.72,0.8,3600,9,-122,0,3603.971956,98.19758746,0.476449275,0.475543478,0.422764228,0.721393035,0.693548387,0.609756098,127,0,0,0,0
FlowOCT,ctmc_5buckets,1,1104,4,0,0.74,0.8,3600,9,-123.2,0,3603.397357,98.19591517,0.463768116,0.45923913,0.406504065,0.779141104,0.790697674,0.654545455,127,0,0,0,0
FlowOCT,ctmc_5buckets,1,1104,4,0,0.76,0.8,3600,9,-122,0,3601.291462,98.19728831,0.487318841,0.5,0.45799458,0.776190476,0.739130435,0.712121212,127,0,0,0,0
FlowOCT,ctmc_5buckets,1,1104,4,0,0.78,0.8,3600,9,-128.8,0,3601.280958,98.29103597,0.434782609,0.434782609,0.409214092,0.781818182,0.8125,0.648648649,191,0,0,0,0
FlowOCT,ctmc_5buckets,1,1104,4,0,0.8,0.8,3600,9,-137,0,3602.568699,98.38985696,0.394021739,0.388586957,0.376693767,0.842857143,0.761904762,0.733333333,127,0,0,0,0
FlowOCT,ctmc_5buckets,1,1104,4,0,0.82,0.8,3600,9,-137.6,0,3602.699948,98.39104304,0.391304348,0.388586957,0.384823848,0.823529412,0.75,0.777777778,127,0,0,0,0
FlowOCT,ctmc_5buckets,2,1104,4,0,0.64,0.6,3600,9,-238.4,0,3602.425517,99.30488532,0.468297101,0.491847826,0.430894309,0.685344828,0.721518987,0.666666667,126,0,0,0,0
FlowOCT,ctmc_5buckets,2,1104,4,0,0.66,0.6,3600,9,-214.8,0,3601.790131,99.23776248,0.527173913,0.546195652,0.466124661,0.705501618,0.754901961,0.674418605,159,0,0,0,0
FlowOCT,ctmc_5buckets,2,1104,4,0,0.68,0.6,3600,9,-212.4,0,3600.431087,99.22740388,0.527173913,0.538043478,0.479674797,0.680555556,0.705882353,0.650485437,159,0,0,0,0
FlowOCT,ctmc_5buckets,2,1104,4,0,0.7,0.6,3600,9,-215.6,0,3601.512263,99.24036486,0.52807971,0.538043478,0.468834688,0.704545455,0.732673267,0.655555556,127,0,0,0,0
FlowOCT,ctmc_5buckets,2,1104,4,0,0.72,0.6,3600,9,-223.4,0,3600.415932,99.26150712,0.503623188,0.494565217,0.444444444,0.733840304,0.738636364,0.630136986,159,0,0,0,0
FlowOCT,ctmc_5buckets,2,1104,4,0,0.74,0.6,3600,9,-209.8,0,3601.383232,99.20559263,0.539855072,0.557065217,0.482384824,0.740614334,0.772277228,0.704545455,191,0,0,0,0
FlowOCT,ctmc_5buckets,2,1104,4,0,0.76,0.6,3600,9,-221.2,0,3601.758014,99.25506292,0.509963768,0.510869565,0.452574526,0.769565217,0.786666667,0.68115942,235,0,0,0,0
FlowOCT,ctmc_5buckets,2,1104,4,0,0.78,0.6,3600,9,-231.8,0,3601.473744,99.24211477,0.484601449,0.483695652,0.43902439,0.788944724,0.783783784,0.672413793,159,0,0,0,0
FlowOCT,ctmc_5buckets,2,1104,4,0,0.8,0.6,3600,9,-244.8,0,3601.360289,99.31913322,0.461956522,0.440217391,0.411924119,0.802816901,0.8,0.739130435,159,0,0,0,0
FlowOCT,ctmc_5buckets,2,1104,4,0,0.82,0.6,3600,9,-251.4,0,3600.369397,99.34887716,0.451086957,0.453804348,0.430894309,0.820754717,0.857142857,0.75,158,0,0,0,0
FlowOCT,ctmc_5buckets,3,1104,4,0,0.64,0.4,3600,9,-360.8,0,3601.379586,99.69512195,0.461956522,0.470108696,0.441734417,0.704166667,0.707317073,0.65,127,0,0,0,0
FlowOCT,ctmc_5buckets,3,1104,4,0,0.66,0.4,3600,9,-308.6,0,3601.259525,99.64301047,0.542572464,0.557065217,0.517615176,0.692307692,0.692307692,0.590604027,159,0,0,0,0
FlowOCT,ctmc_5buckets,3,1104,4,0,0.68,0.4,3600,9,-319.6,0,3601.386043,99.65581977,0.523550725,0.538043478,0.531165312,0.682857143,0.674418605,0.666666667,191,0,0,0,0
FlowOCT,ctmc_5buckets,3,1104,4,0,0.7,0.4,3600,9,-331.8,0,3600.243628,99.67110661,0.50634058,0.524456522,0.525745257,0.705696203,0.690909091,0.672727273,137,0,0,0,0
FlowOCT,ctmc_5buckets,3,1104,4,0,0.72,0.4,3600,9,-323.4,0,3602.074594,99.66205264,0.519021739,0.529891304,0.514905149,0.729537367,0.695238095,0.694444444,191,0,0,0,0
FlowOCT,ctmc_5buckets,3,1104,4,0,0.74,0.4,3600,9,-332.6,0,3600.919147,99.66998402,0.50634058,0.486413043,0.466124661,0.745173745,0.723404255,0.618556701,191,0,0,0,0
FlowOCT,ctmc_5buckets,3,1104,4,0,0.76,0.4,3600,9,-345.4,0,3600.933287,99.68379189,0.486413043,0.467391304,0.482384824,0.773480663,0.746478873,0.708333333,894,0,0,0,0
FlowOCT,ctmc_5buckets,3,1104,4,0,0.78,0.4,3600,9,-368.6,0,3601.369946,99.70184464,0.448369565,0.432065217,0.471544715,0.792,0.729166667,0.755102041,159,0,0,0,0
FlowOCT,ctmc_5buckets,3,1104,4,0,0.8,0.4,3600,9,-367.6,0,3600.572828,99.70223216,0.449275362,0.432065217,0.452574526,0.821138211,0.826086957,0.791666667,159,0,0,0,0
FlowOCT,ctmc_5buckets,3,1104,4,0,0.82,0.4,3600,9,-384.2,0,3600.651447,99.71494993,0.428442029,0.429347826,0.414634146,0.829268293,0.862068966,0.736842105,159,0,0,0,0
FlowOCT,ctmc_5buckets,4,1104,4,0,0.64,0.5,3600,9,-266.5,0,3600.47139,99.43714822,0.527173913,0.527173913,0.512195122,0.682997118,0.681818182,0.661016949,159,0,0,0,0
FlowOCT,ctmc_5buckets,4,1104,4,0,0.66,0.5,3600,9,-262.5,0,3600.475148,99.42857143,0.533514493,0.535326087,0.512195122,0.698507463,0.700934579,0.675438596,159,0,0,0,0
FlowOCT,ctmc_5buckets,4,1104,4,0,0.68,0.5,3600,9,-258,0,3600.509604,99.41860465,0.543478261,0.538043478,0.468834688,0.68,0.674603175,0.60483871,159,0,0,0,0
FlowOCT,ctmc_5buckets,4,1104,4,0,0.7,0.5,3600,9,-278,0,3601.528404,99.50572308,0.509057971,0.524456522,0.493224932,0.721254355,0.696969697,0.694736842,127,0,0,0,0
FlowOCT,ctmc_5buckets,4,1104,4,0,0.72,0.5,3600,9,-287,0,3600.823998,99.47735192,0.491847826,0.472826087,0.430894309,0.726851852,0.726027397,0.671641791,159,0,0,0,0
FlowOCT,ctmc_5buckets,4,1104,4,0,0.74,0.5,3600,9,-280,0,3600.430881,99.46428571,0.504528986,0.502717391,0.468834688,0.746938776,0.773333333,0.683544304,496,0,0,0,0
FlowOCT,ctmc_5buckets,4,1104,4,0,0.76,0.5,3600,9,-293.5,0,3601.651343,99.48892675,0.480978261,0.497282609,0.447154472,0.782608696,0.8,0.709677419,190,0,0,0,0
FlowOCT,ctmc_5buckets,4,1104,4,0,0.78,0.5,3600,9,-285,0,3600.886204,99.47368421,0.494565217,0.491847826,0.441734417,0.783018868,0.805194805,0.7,191,0,0,0,0
FlowOCT,ctmc_5buckets,4,1104,4,0,0.8,0.5,3600,9,-315,0,3600.658847,99.56572536,0.4375,0.453804348,0.417344173,0.801886792,0.810810811,0.69047619,159,0,0,0,0
FlowOCT,ctmc_5buckets,4,1104,4,0,0.82,0.5,3600,9,-325.5,0,3600.497248,99.53917051,0.423007246,0.413043478,0.371273713,0.85,0.909090909,0.5,159,0,0,0,0
