dataset,depth,split,method,tau_0,key_beta_p,beta_p,objective_value,optimality_gap (Full MIP),time,actual_time (Full MIP),gamma,train_acc,test_acc,train_prec,test_prec
ceva,3,2,IDSA4-PIP,6,1,0.97,0.864197531,,2238.102212,,0,0.864,0.854,0.991,0.982
ceva,3,2,IDSA-PIP,6,1,0.97,0.852623457,,1782.682265,,0,0.853,0.838,0.98,0.962
ceva,3,3,Full MIP,8,1,0.97,0.770833333,0.297297297,3.13616991,3601.15482,0,0.771,0.799,1,1
ceva,3,3,F-PIP,8,1,0.97,-16299.21528,,477.2698107,,1.63,0.785,0.812,0.968,0.96
ceva,3,3,ISA-PIP,8,1,0.97,0.770833333,,1788.473817,,0,0.771,0.799,1,1
ceva,3,3,FD4-PIP,8,1,0.97,0.831790123,,958.6068764,,0,0.832,0.847,0.997,0.986
ceva,3,3,FD-PIP,8,1,0.97,0.81712963,,509.8515115,,0,0.824,0.845,0.999,0.996
ceva,3,3,IDSA4-PIP,8,1,0.97,0.87037037,,3129.180995,,0,0.87,0.87,0.979,0.97
ceva,3,3,IDSA-PIP,8,1,0.97,0.868055556,,1994.23308,,0,0.868,0.868,0.979,0.973
ceva,3,4,Full MIP,9,1,0.97,0.775462963,0.289552239,3.463947058,3600.224235,0,0.775,0.785,1,1
ceva,3,4,F-PIP,9,1,0.97,0.775462963,,571.5751579,,0,0.775,0.785,1,1
ceva,3,4,ISA-PIP,9,1,0.97,0.775462963,,2144.647709,,0,0.775,0.785,1,1
ceva,3,4,FD4-PIP,9,1,0.97,0.87345679,,779.4796801,,0,0.873,0.873,0.983,0.973
ceva,3,4,FD-PIP,9,1,0.97,0.894290123,,1164.998916,,0,0.894,0.891,1,1
ceva,3,4,IDSA4-PIP,9,1,0.97,0.891203704,,4750.068004,,0,0.891,0.896,1,1
ceva,3,4,IDSA-PIP,9,1,0.97,0.861111111,,2561.138029,,0,0.861,0.847,0.999,0.993
fish,3,1,Full MIP,,8,0.28,-109999.3206,1.000009091,3637.711683,3637.711683,11,0.679,0.675,0.272,0.271
fish,3,1,F-PIP,,8,0.28,-109999.3206,,781.1340616,,11,0.679,0.675,0.272,0.271
fish,3,1,ISA-PIP,,8,0.28,-109999.3206,,4162.46687,,11,0.679,0.675,0.272,0.271
fish,3,1,FD4-PIP,,8,0.28,0.681045752,,225.7374742,,0,0.681,0.68,0.28,0.279
fish,3,1,FD-PIP,,8,0.28,0.681045752,,241.4130676,,0,0.681,0.681,0.28,0.281
fish,3,1,IDSA4-PIP,,8,0.28,0.681045752,,631.4186389,,0,0.681,0.681,0.28,0.28
fish,3,1,IDSA-PIP,,8,0.28,0.681045752,,571.2521498,,0,0.681,0.681,0.28,0.28
fish,3,2,Full MIP,,8,0.28,-104399.3216,1.000009579,3600.361131,3600.361131,10.44,0.678,0.678,0.272,0.271
fish,3,2,F-PIP,,8,0.28,-104399.3216,,525.0511911,,10.44,0.678,0.678,0.272,0.271
fish,3,2,ISA-PIP,,8,0.28,-104399.3216,,1834.357289,,10.44,0.678,0.678,0.272,0.271
fish,3,2,FD4-PIP,,8,0.28,0.681045752,,308.5533118,,0,0.681,0.681,0.28,0.281
fish,3,2,FD-PIP,,8,0.28,0.681045752,,303.0589406,,0,0.681,0.681,0.28,0.281
fish,3,2,IDSA4-PIP,,8,0.28,0.681045752,,509.5007291,,0,0.681,0.681,0.28,0.281
fish,3,2,IDSA-PIP,,8,0.28,0.681045752,,551.396724,,0,0.681,0.681,0.28,0.281
fish,3,3,Full MIP,,8,0.28,-104399.3212,1.000009579,3600.402687,3600.402687,10.44,0.679,0.677,0.272,0.271
fish,3,3,F-PIP,,8,0.28,-104399.3212,,1221.663733,,10.44,0.679,0.677,0.272,0.271
fish,3,3,ISA-PIP,,8,0.28,-104399.3212,,3539.538835,,10.44,0.679,0.677,0.272,0.271
fish,3,3,FD4-PIP,,8,0.28,0.681045752,,249.8954551,,0,0.681,0.678,0.281,0.28
fish,3,3,FD-PIP,,8,0.28,0.681045752,,245.9529791,,0,0.681,0.678,0.281,0.28
fish,3,3,IDSA4-PIP,,8,0.28,0.681045752,,522.9766543,,0,0.681,0.679,0.281,0.28
fish,3,3,IDSA-PIP,,8,0.28,0.681045752,,555.1513865,,0,0.681,0.679,0.281,0.28
fish,3,4,Full MIP,,8,0.28,-143599.3216,1.000006964,3600.20583,3600.20583,14.36,0.68,0.679,0.269,0.27
fish,3,4,F-PIP,,8,0.28,-143599.3216,,752.5995953,,14.36,0.68,0.679,0.269,0.27
fish,3,4,ISA-PIP,,8,0.28,-143599.3216,,2490.76971,,14.36,0.68,0.679,0.269,0.27
fish,3,4,FD4-PIP,,8,0.28,0.681045752,,243.4278851,,0,0.681,0.68,0.29,0.289
fish,3,4,FD-PIP,,8,0.28,0.681045752,,240.9238231,,0,0.681,0.68,0.29,0.289
fish,3,4,IDSA4-PIP,,8,0.28,0.681045752,,679.131855,,0,0.681,0.679,0.28,0.28
fish,3,4,IDSA-PIP,,8,0.28,0.681045752,,679.8006985,,0,0.681,0.679,0.28,0.28
wine,4,1,Full MIP,10,2,0.99,1,0,6.24516511,6.24516511,0,1,0.822,1,0.75
wine,4,1,F-PIP,10,2,0.99,1,,22.36372995,,0,1,0.844,1,0.824
wine,4,1,ISA-PIP,10,2,0.99,1,,80.59488678,,0,1,0.844,1,0.824
wine,4,1,FD4-PIP,10,2,0.99,1,,0.958475828,,0,1,0.844,1,0.824
wine,4,1,FD-PIP,10,2,0.99,1,,0.941243887,,0,1,0.844,1,0.824
wine,4,1,IDSA4-PIP,10,2,0.99,1,,3.181304216,,0,1,0.844,1,0.824
wine,4,1,IDSA-PIP,10,2,0.99,1,,3.206682205,,0,1,0.844,1,0.824
wine,4,2,Full MIP,7,2,0.99,1,0,371.4645679,371.4645679,0,1,0.867,1,0.75
wine,4,2,F-PIP,7,2,0.99,1,,295.6700566,,0,1,0.956,1,0.9
wine,4,2,ISA-PIP,7,2,0.99,1,,796.8924098,,0,1,0.911,1,0.818
wine,4,2,FD4-PIP,7,2,0.99,1,,4.455134869,,0,1,0.867,1,0.75
wine,4,2,FD-PIP,7,2,0.99,1,,3.748570919,,0,1,0.867,1,0.75
wine,4,2,IDSA4-PIP,7,2,0.99,1,,12.17058969,,0,1,0.933,1,0.857
wine,4,2,IDSA-PIP,7,2,0.99,1,,8.624647856,,0,1,0.933,1,0.857
wine,4,3,Full MIP,10,2,0.99,0.984962406,0.015267176,0.873106003,3600.676159,0,0.985,0.8,1,0.867
wine,4,3,F-PIP,10,2,0.99,0.984962406,,618.5834451,,0,0.985,0.844,1,1
wine,4,3,ISA-PIP,10,2,0.99,1,,1576.041892,,0,1,0.867,1,1
wine,4,3,FD4-PIP,10,2,0.99,0.992481203,,141.98931,,0,0.992,0.8,1,0.846
wine,4,3,FD-PIP,10,2,0.99,0.992481203,,137.879431,,0,0.992,0.8,1,0.846
wine,4,3,IDSA4-PIP,10,2,0.99,1,,108.5551832,,0,1,0.867,1,0.933
wine,4,3,IDSA-PIP,10,2,0.99,1,,110.3057585,,0,1,0.867,1,0.933
wine,4,4,Full MIP,8,2,0.99,1,0,211.054045,211.054045,0,1,0.956,1,0.944
wine,4,4,F-PIP,8,2,0.99,0.992481203,,598.8920898,,0,1,0.956,1,0.944
wine,4,4,ISA-PIP,8,2,0.99,1,,204.2613764,,0,1,0.956,1,0.944
wine,4,4,FD4-PIP,8,2,0.99,1,,2.806465864,,0,1,0.933,1,0.941
wine,4,4,FD-PIP,8,2,0.99,1,,2.815790892,,0,1,0.933,1,0.941
wine,4,4,IDSA4-PIP,8,2,0.99,1,,5.118694544,,0,1,0.867,1,0.929
wine,4,4,IDSA-PIP,8,2,0.99,1,,5.765797377,,0,1,0.867,1,0.929
nwth,4,1,Full MIP,,1,1,0.310559218,2.219997806,0.641998053,3627.164512,-2.12E-11,0.311,0.278,1,1
nwth,4,1,F-PIP,,1,1,0.310559006,,638.6910839,,0,0.311,0.259,1,-
nwth,4,1,ISA-PIP,,1,1,0.310559006,,1946.268712,,0,0.311,0.278,1,1
nwth,4,1,FD4-PIP,,1,1,0.465838509,,374.1260524,,0,0.478,0.333,1,0.6
nwth,4,1,FD-PIP,,1,1,0.465838509,,372.4721291,,0,0.478,0.333,1,0.6
nwth,4,1,IDSA4-PIP,,1,1,0.950310559,,1736.164021,,0,0.95,0.889,1,0.944
nwth,4,1,IDSA-PIP,,1,1,0.950310559,,1388.53919,,0,0.95,0.889,1,0.944
nwth,4,2,Full MIP,,1,1,0.316770186,2.156862745,3247.622386,3600.134579,0,0.317,0.333,1,1
nwth,4,2,F-PIP,,1,1,0.304347826,,603.1906412,,0,0.304,0.296,1,-
nwth,4,2,ISA-PIP,,1,1,0.304347826,,1795.583056,,0,0.304,0.315,1,1
nwth,4,2,FD4-PIP,,1,1,0.540372671,,369.2939322,,0,0.54,0.426,1,0.818
nwth,4,2,FD-PIP,,1,1,0.540372671,,365.7694247,,0,0.54,0.426,1,0.818
