method,dataset,run,depth,restricted_class,beta_p,objective_value,optimality_gap,time,gamma,train_acc,test_acc,train_prec,test_prec
C-BinOCT,balance_scale,2,3,0,0.89,118.999999984,0.9818041735061035,3600.1084809303284,0.0,0.7457264957264957,0.6687898089171974,0.8930817610062893,0.7678571428571429
C-BinOCT,balance_scale,2,3,0,0.9,122.999999985,0.9862312232978164,3600.3555870056152,0.0,0.7371794871794872,0.6942675159235668,0.9019607843137255,0.9047619047619048
C-BinOCT,balance_scale,2,3,0,0.91,124.999999986,0.9874039942850245,3600.0728459358215,0.0,0.7329059829059829,0.7070063694267515,0.9236111111111112,0.8431372549019608
C-BinOCT,balance_scale,2,3,0,0.92,133.9999999860093,0.9840712907853114,3600.0681779384613,0.0,0.7136752136752137,0.6815286624203821,0.924812030075188,0.8297872340425532
C-BinOCT,balance_scale,2,3,0,0.93,129.99999998411892,0.982168815247277,3600.108407020569,0.0,0.7222222222222222,0.7070063694267515,0.9338235294117647,0.8571428571428571
C-BinOCT,balance_scale,2,3,0,0.94,137.999999984,0.9886029392075749,3600.134600877762,0.0,0.7051282051282052,0.6687898089171974,0.943089430894309,0.8571428571428571
C-BinOCT,balance_scale,2,3,0,0.95,140.0,0.9881653965838875,3600.102341890335,0.0,0.7008547008547008,0.6369426751592356,0.9508196721311475,0.8787878787878788
C-BinOCT,balance_scale,2,3,0,0.96,144.0,0.9851677081671236,3600.547916173935,0.0,0.6923076923076923,0.6242038216560509,0.9642857142857143,0.8421052631578947
C-BinOCT,balance_scale,2,3,0,0.97,163.0,0.9889219163206242,3600.115231990814,0.0,0.6517094017094017,0.6242038216560509,0.9777777777777777,0.9333333333333333
C-BinOCT,balance_scale,3,3,0,0.88,118.99999998502705,0.9764172335563029,3600.2241611480713,0.0,0.7136752136752137,0.7261146496815286,0.7934782608695652,0.7868852459016393
C-BinOCT,balance_scale,3,3,0,0.89,120.99999999999994,0.9725186211396186,3600.096042871475,0.0,0.7414529914529915,0.6815286624203821,0.9133333333333333,0.82
C-BinOCT,balance_scale,3,3,0,0.9,120.99999998400001,0.9625286404588095,3600.4003100395203,0.0,0.7414529914529915,0.6815286624203821,0.9133333333333333,0.82
C-BinOCT,balance_scale,3,3,0,0.91,120.99999998402704,0.9673195865681327,3600.4331250190735,0.0,0.7414529914529915,0.6815286624203821,0.9133333333333333,0.82
C-BinOCT,balance_scale,3,3,0,0.92,126.99999998508386,0.9704872231302253,3600.0964040756226,0.0,0.7286324786324786,0.6815286624203821,0.9290780141843972,0.8409090909090909
C-BinOCT,balance_scale,3,3,0,0.93,124.99999998502705,0.9756128322413954,3600.084568977356,0.0,0.7329059829059829,0.6687898089171974,0.9300699300699301,0.8333333333333334
C-BinOCT,balance_scale,3,3,0,0.94,130.999999986,0.9739438888524862,3600.2592730522156,0.0,0.7200854700854701,0.6687898089171974,0.9402985074626866,0.8536585365853658
C-BinOCT,balance_scale,3,3,0,0.95,142.9999999971713,0.9744982464370853,3600.0807209014893,0.0,0.6944444444444444,0.6560509554140127,0.9568965517241379,0.8717948717948718
C-BinOCT,balance_scale,3,3,0,0.96,150.999999999,0.981226321653897,3600.0801379680634,0.0,0.6773504273504274,0.6560509554140127,0.963302752293578,0.8611111111111112
C-BinOCT,balance_scale,3,3,0,0.97,152.0,0.9740253799726655,3600.115792989731,0.0,0.6752136752136753,0.643312101910828,0.9714285714285714,0.8571428571428571
C-BinOCT,balance_scale,4,3,0,0.88,114.99999998700002,0.9740574986077486,3600.07839012146,0.0,0.7542735042735043,0.7070063694267515,0.8809523809523809,0.8070175438596491
C-BinOCT,balance_scale,4,3,0,0.89,119.999999985,0.9816760168457641,3600.094938993454,0.0,0.7435897435897436,0.7133757961783439,0.8924050632911392,0.8070175438596491
C-BinOCT,balance_scale,4,3,0,0.9,122.0,0.9798714520336655,3600.0774898529053,0.0,0.7393162393162394,0.7006369426751592,0.9013157894736842,0.8541666666666666
C-BinOCT,balance_scale,4,3,0,0.91,124.99999998400001,0.9874433127916132,3600.0776150226593,0.0,0.7329059829059829,0.7070063694267515,0.910958904109589,0.8775510204081632
C-BinOCT,balance_scale,4,3,0,0.92,127.99999998400001,0.9803573099616739,3600.388391971588,0.0,0.7264957264957265,0.6878980891719745,0.9219858156028369,0.8367346938775511
C-BinOCT,balance_scale,4,3,0,0.93,132.999999999,0.9781275557809381,3600.41308093071,0.0,0.7158119658119658,0.6815286624203821,0.9318181818181818,0.8837209302325582
C-BinOCT,balance_scale,4,3,0,0.94,143.99999998500002,0.9784762720308811,3600.106847047806,0.0,0.6923076923076923,0.6560509554140127,0.9495798319327731,0.8611111111111112
