approach,dataset,sample,nrow,depth,restricted_class,beta_p,lambda,time_limit,status,obj_value,gamma_value,solving_time,gap,train_acc,eval_acc,test_acc,train_prec,eval_prec,test_prec,node_count,cb_time_int,cb_time_int_suc,cb_counter_int,cb_counter_int_suc
FlowOCT,balance_scale_onehot,2,468,4,0,0.91,0.5,3600,9,-88,0,3600.201955,97.72727273,0.645299145,0.641025641,0.598726115,0.916666667,0.966666667,0.92,626,0,0,0,0
FlowOCT,balance_scale_onehot,2,468,4,0,0.92,0.5,3600,9,-69.5,0,3600.230867,96.4028777,0.728632479,0.762820513,0.719745223,0.923076923,0.941176471,0.803571429,3928,0,0,0,0
FlowOCT,balance_scale_onehot,2,468,4,0,0.93,0.5,3600,9,-70,0,3600.31722,96.42857143,0.724358974,0.743589744,0.719745223,0.940740741,0.957446809,0.862745098,3539,0,0,0,0
FlowOCT,balance_scale_onehot,2,468,4,0,0.94,0.5,3600,9,-70.5,0,3600.170969,97.16312057,0.724358974,0.75,0.738853503,0.940740741,0.921568627,0.918367347,3225,0,0,0,0
FlowOCT,balance_scale_onehot,2,468,4,0,0.95,0.5,3600,9,-70.5,0,3600.186633,96.45390071,0.726495726,0.756410256,0.738853503,0.954198473,0.959183673,0.956521739,4219,0,0,0,0
FlowOCT,balance_scale_onehot,2,468,4,0,0.96,0.5,3600,9,-71,0,3600.126727,96.47887324,0.722222222,0.75,0.732484076,0.9609375,0.958333333,0.955555556,3856,0,0,0,0
FlowOCT,balance_scale_onehot,2,468,4,0,0.97,0.5,3600,9,-76,0,3600.273377,96.71052632,0.696581197,0.724358974,0.713375796,0.973684211,0.954545455,0.952380952,4278,0,0,0,0
FlowOCT,balance_scale_onehot,3,468,4,0,0.88,0.1,3600,9,-95.8,0,3600.158287,99.47807933,0.775641026,0.762820513,0.707006369,0.901734104,0.86440678,0.75,4368,0,0,0,0
FlowOCT,balance_scale_onehot,3,468,4,0,0.89,0.1,3600,9,-97.6,0,3600.185098,99.64139344,0.771367521,0.769230769,0.719745223,0.900584795,0.909090909,0.757575758,2600,0,0,0,0
FlowOCT,balance_scale_onehot,3,468,4,0,0.9,0.1,3600,9,-95.8,0,3600.180279,99.47807933,0.775641026,0.762820513,0.707006369,0.901734104,0.86440678,0.75,6159,0,0,0,0
FlowOCT,balance_scale_onehot,3,468,4,0,0.91,0.1,3600,9,-101.2,0,3600.154247,99.6516165,0.762820513,0.743589744,0.694267516,0.913580247,0.886792453,0.762711864,3203,0,0,0,0
FlowOCT,balance_scale_onehot,3,468,4,0,0.92,0.1,3600,9,-98.5,0,3600.145433,99.49238579,0.769230769,0.756410256,0.707006369,0.920731707,0.907407407,0.770491803,4826,0,0,0,0
FlowOCT,balance_scale_onehot,3,468,4,0,0.93,0.1,3600,9,-110.2,0,3600.263514,99.6735733,0.741452991,0.762820513,0.668789809,0.95035461,0.923076923,0.8125,3146,0,0,0,0
FlowOCT,balance_scale_onehot,3,468,4,0,0.94,0.1,3600,9,-109.3,0,3600.237519,99.60353858,0.743589744,0.75,0.700636943,0.963768116,0.957446809,0.823529412,2178,0,0,0,0
FlowOCT,balance_scale_onehot,3,468,4,0,0.95,0.1,3600,9,-109.3,0,3600.12781,99.54254346,0.743589744,0.75,0.700636943,0.963768116,0.957446809,0.823529412,3854,0,0,0,0
